gene_id,gene_name,GSM4143959_HUtSMC-AP-1-KO-Rep-1,GSM4143960_HUtSMC-AP-1-KO-Rep-2,GSM4143961_HUtSMC-AP-1-KO-Rep-3,GSM4143962_HUtSMC-Negative-Ctrl-Rep-1,GSM4143963_HUtSMC-Negative-Ctrl-Rep-2,GSM4143964_HUtSMC-Negative-Ctrl-Rep-3
ENSG00000083444,PLOD1,10109,14965,13327,10749,13279,12286
ENSG00000116688,MFN2,2344,2179,1805,1964,2053,2069
ENSG00000270914,ENSG00000270914,0,0,0,0,0,0
ENSG00000116691,MIIP,141,117,104,142,116,128
ENSG00000202461,Y_RNA,0,0,0,0,0,0
ENSG00000276869,MIR6729,0,0,0,0,0,0
ENSG00000243539,RN7SL649P,0,0,0,0,0,0
ENSG00000120949,TNFRSF8,0,4,5,3,2,2
ENSG00000201135,RNU6-777P,0,0,0,0,0,0
ENSG00000227875,RPL23AP89,0,0,0,0,0,0
ENSG00000283789,MIR7846,0,0,0,0,0,0
ENSG00000028137,TNFRSF1B,385,210,217,430,633,708
ENSG00000263676,MIR4632,0,0,0,0,0,0
ENSG00000225196,RPL10P17,0,0,0,0,0,0
ENSG00000252969,SNORA70,0,0,0,0,0,0
ENSG00000048707,VPS13D,786,802,758,998,1021,1265
ENSG00000239149,SNORA59A,0,1,3,0,2,3
ENSG00000229484,LINC02766,0,0,0,0,0,0
ENSG00000162496,DHRS3,166,180,157,654,430,355
ENSG00000221340,RNU6ATAC18P,0,0,0,2,1,0
ENSG00000276830,MIR6730,0,0,0,0,0,0
ENSG00000204518,AADACL4,0,0,0,0,0,0
ENSG00000226166,ENSG00000226166,0,0,0,0,0,0
ENSG00000188984,AADACL3,0,0,0,0,0,0
ENSG00000157330,CFAP107,0,0,0,0,0,0
ENSG00000116726,PRAMEF12,0,0,0,0,0,0
ENSG00000116721,PRAMEF1,0,0,1,0,0,0
ENSG00000228338,LINC01784,0,0,0,0,0,0
ENSG00000239810,PRAMEF11,0,0,0,0,0,0
ENSG00000231103,PRAMEF30P,0,0,0,0,0,0
ENSG00000179172,HNRNPCL1,2,2,0,0,0,1
ENSG00000120952,PRAMEF2,0,0,1,0,0,0
ENSG00000243073,PRAMEF4,0,0,1,0,0,0
ENSG00000187545,PRAMEF10,0,0,0,0,0,0
ENSG00000204510,PRAMEF7,0,0,0,0,0,0
ENSG00000207434,RNU6-1072P,0,0,0,0,0,0
ENSG00000234064,PRAMEF29P,0,0,0,0,0,0
ENSG00000232423,PRAMEF6,0,0,0,0,0,0
ENSG00000274178,PRAMEF28P,0,0,0,0,0,0
ENSG00000274764,PRAMEF27,0,0,0,0,0,0
ENSG00000277058,HNRNPCL3,0,0,0,0,0,0
ENSG00000229571,PRAMEF25,0,0,0,0,0,0
ENSG00000277862,PRAMEF34P,0,0,0,0,0,0
ENSG00000236179,PRAMEF35P,0,0,0,0,0,0
ENSG00000275774,HNRNPCL2,1,0,1,0,0,0
ENSG00000229978,PRAMEF36P,0,0,0,0,0,0
ENSG00000233336,ENSG00000233336,0,0,0,0,0,0
ENSG00000280267,PRAMEF26,0,0,0,0,0,0
ENSG00000179412,HNRNPCL4,0,0,0,0,0,0
ENSG00000204505,PRAMEF9,0,0,0,0,0,0
ENSG00000279169,PRAMEF13,0,0,0,0,0,0
ENSG00000279804,PRAMEF18,0,0,0,0,0,0
ENSG00000250894,PRAMEF31P,0,0,0,0,0,0
